-24.917,3.8404,31.46
8.3178,10.97,16.295
-9.1785,-16.637,-11.397
32.315,-12.719,-14.417
4.319,-18.679,-10.257
27.815,-10.457,-16.933
-5.3706,-4.9548,-27.846
-9.9349,3.5486,32.52
-14.804,-27.025,-7.2451
2.7096,2.6179,36.247
-23.168,-8.8571,-19.238
-44.419,-6.8567,-22.998
-42.954,-10.331,-17.096
-39.45,-15.422,-12.197
34.796,31,6.3476
-18.487,29.159,6.7345
13.877,14.107,13.19
30.384,13.198,13.97
-21.435,-16.034,-11.781
-30.252,-5.4281,-26.497
-2.0464,-17.722,-10.762
-37.114,-44.062,-4.5022
38.488,-12.32,-14.809
12.647,9.1648,18.753
-49.126,9.5669,18.151
3.9434,4.0975,30.567
16.74,-2.8449,-35.287
1.9315,-11.764,-15.39
-33.68,3.7957,31.619
-22.924,16.642,11.394
